47.84,0.43,50.33,29.35,10.5,33.08,0.13,3.43,10.02,4.72,7.0,0.55,0.09,0.7,0.04,18.14,4.34,0.06,2.87,1.86,32.48,19.54,0.06,2.23,10.14,8.59,6.88,0.18,0.4,3.35
47.24,0.56,49.92,33.16,13.48,32.82,0.17,3.89,11.26,3.03,7.36,0.57,0.09,0.65,0.02,18.96,7.1,0.14,3.12,6.39,31.78,17.24,0.22,1.37,8.44,8.25,4.15,0.05,0.6,2.91
40.32,0.48,50.42,31.67,9.8,37.75,0.15,3.8,11.03,2.88,6.9,0.5,0.09,0.26,0.0,17.68,2.22,0.14,3.41,4.68,31.35,16.05,0.94,1.47,9.5,8.16,2.68,0.0,0.49,2.47
39.69,0.42,49.62,31.87,8.84,33.39,0.03,3.45,11.07,2.68,6.78,0.33,0.07,0.24,0.0,17.03,2.34,0.13,2.77,0.69,27.92,14.13,0.03,1.31,6.97,7.66,4.96,0.0,0.47,2.52
37.63,0.39,50.25,34.21,11.34,32.25,0.0,3.6,10.31,2.35,7.02,0.24,0.07,0.17,0.03,18.2,2.22,0.1,2.54,0.65,26.69,12.88,0.05,1.25,8.55,8.88,2.7,0.0,0.37,2.87
37.82,0.46,50.17,33.27,9.08,31.28,0.0,3.53,10.85,2.41,7.06,0.25,0.11,0.31,0.02,17.25,1.91,0.18,9.38,0.95,26.6,13.88,0.07,0.34,13.45,6.56,4.59,0.0,0.33,2.54
35.66,0.48,49.88,33.72,9.83,30.73,0.06,4.24,10.92,2.45,6.93,0.29,0.08,0.28,0.03,18.27,2.15,0.08,18.81,0.46,25.27,13.96,0.06,0.45,11.7,7.44,1.32,0.02,0.37,2.52
35.7,0.37,49.48,35.27,8.32,29.15,0.02,3.62,12.2,2.69,6.93,0.43,0.08,0.26,0.03,17.95,2.05,0.06,18.78,0.33,20.91,13.47,0.48,0.57,12.63,8.13,1.57,0.0,0.14,2.31
35.8,0.35,49.33,33.58,8.32,29.64,0.07,4.06,11.87,2.51,7.67,0.4,0.08,0.17,0.03,19.22,2.01,0.12,2.36,0.38,17.07,14.06,1.14,0.64,11.37,7.7,1.34,0.0,0.13,2.05
38.98,0.28,49.53,30.61,9.46,29.42,0.04,4.46,10.88,2.44,6.43,0.22,0.05,0.4,0.02,23.37,2.33,0.1,2.02,0.56,17.06,13.85,0.02,0.75,11.77,9.63,1.17,0.0,0.15,2.03
38.03,0.26,49.67,32.55,10.29,30.15,0.01,3.53,10.97,2.29,7.16,0.38,0.05,0.2,0.02,22.76,2.04,0.02,2.0,0.19,18.49,13.63,0.01,0.81,12.28,8.98,1.12,0.0,0.08,2.26
37.57,0.32,49.47,35.8,11.48,30.4,0.0,3.59,11.2,2.44,7.05,0.45,0.1,0.17,0.0,23.23,2.52,0.05,2.09,0.26,22.52,13.87,0.08,0.47,12.51,9.29,1.58,0.0,0.15,2.04
34.74,0.65,49.4,32.09,11.26,28.56,0.02,3.49,10.92,2.35,7.67,0.38,0.1,0.2,0.03,23.36,2.41,0.13,2.79,0.28,21.71,12.96,0.09,0.33,8.3,9.17,1.94,0.0,0.06,0.71
